t,x,y,z,roll,pitch,yaw,valid
6.033329,-0.283249,-0.711495,-0.415352,-6.290653,-20.073816,64.454933,1
6.066662,-0.272493,-0.717846,-0.414793,-6.064427,-19.809174,65.913681,1
6.099996,-0.259951,-0.724536,-0.413991,-5.87491,-19.47851,67.190559,1
6.133329,-0.246393,-0.731353,-0.412702,-5.939883,-19.395803,68.366707,1
6.166662,-0.233299,-0.739971,-0.41057,-5.852636,-19.519621,69.395973,1
6.199996,-0.219488,-0.748762,-0.408923,-5.486483,-19.768944,70.397202,1
6.233329,-0.205529,-0.758497,-0.407337,-4.936129,-19.871574,71.370338,1
6.266662,-0.19154,-0.768549,-0.405491,-4.351442,-20.109367,72.115372,1
6.299995,-0.177653,-0.778323,-0.404406,-4.160279,-20.406971,72.794159,1
6.333329,-0.164145,-0.787093,-0.404572,-3.955568,-20.444395,73.451996,1
6.366662,-0.150955,-0.795326,-0.405529,-3.788361,-20.264978,74.081772,1
6.399995,-0.138546,-0.803332,-0.406541,-3.591218,-20.072046,74.499893,1
6.433329,-0.127131,-0.811022,-0.40734,-3.30365,-19.862387,75.071045,1
6.466662,-0.116196,-0.817446,-0.408486,-3.129975,-19.558832,75.613678,1
6.499995,-0.105333,-0.822947,-0.409385,-2.969208,-19.167812,76.155952,1
6.533329,-0.095043,-0.82765,-0.409591,-2.963807,-18.919733,76.675331,1
6.566662,-0.085118,-0.831409,-0.409397,-2.995546,-18.731192,77.006592,1
6.599995,-0.075651,-0.833987,-0.409347,-3.018465,-18.529545,77.295731,1
6.633328,-0.066678,-0.835311,-0.409503,-2.927307,-18.281916,77.557991,1
6.666662,-0.0576,-0.83535,-0.409703,-2.672,-18.033051,77.840652,1
6.699995,-0.049339,-0.834996,-0.40979,-2.464873,-17.79327,78.114601,1
6.733328,-0.040894,-0.833758,-0.409584,-2.352143,-17.65222,78.372559,1
6.766662,-0.032345,-0.831915,-0.409083,-2.204713,-17.463898,78.606361,1
6.799995,-0.02357,-0.829416,-0.408213,-2.099914,-17.269346,78.877586,1
6.833328,-0.01501,-0.826206,-0.406934,-2.200804,-17.190186,79.139206,1
6.866662,-0.006253,-0.822324,-0.405627,-2.337982,-17.192385,79.381096,1
6.899995,0.002286,-0.817653,-0.404352,-2.51242,-17.18606,79.600288,1
6.933328,0.010879,-0.812182,-0.403119,-2.660797,-17.09713,79.808296,1
6.966661,0.019123,-0.80574,-0.40205,-2.746124,-16.929743,80.007332,1
6.999995,0.026894,-0.798734,-0.400902,-2.735107,-16.776726,80.080208,1
7.033328,0.034073,-0.790958,-0.399555,-2.673919,-16.70492,80.181496,1
7.066661,0.041279,-0.782258,-0.399331,-2.419404,-17.043636,80.340218,1
7.099995,0.048183,-0.771731,-0.399217,-2.163484,-17.392509,80.638298,1
7.133328,0.05457,-0.760753,-0.399274,-2.084441,-17.794371,81.12117,1
7.166661,0.060211,-0.749465,-0.398777,-2.259337,-18.36825,81.618546,1
7.199995,0.06539,-0.737771,-0.398042,-2.258728,-18.855885,82.208138,1
7.233328,0.069742,-0.726366,-0.396818,-2.087768,-19.150633,82.890266,1
7.266661,0.073842,-0.714924,-0.395261,-1.834442,-19.441128,83.546524,1
7.299994,0.077858,-0.703792,-0.392656,-1.706329,-19.962736,84.067093,1
7.333328,0.08132,-0.693609,-0.3897,-1.655489,-20.625824,84.561798,1
7.366661,0.084787,-0.684352,-0.387121,-1.693146,-21.283195,84.972443,1
7.399994,0.087755,-0.67686,-0.385019,-1.734587,-21.817528,85.351776,1
7.433328,0.090726,-0.670398,-0.383342,-1.84973,-22.210503,85.70504,1
7.466661,0.093317,-0.664881,-0.38261,-1.89679,-22.265589,86.092438,1
7.499994,0.096161,-0.66042,-0.382188,-1.996428,-22.192499,86.48188,1
7.533328,0.098832,-0.656273,-0.381943,-2.051331,-22.101036,86.843651,1
7.566661,0.10188,-0.652554,-0.381566,-2.105592,-21.88592,87.176872,1
7.599994,0.105358,-0.648427,-0.381033,-2.15869,-21.537224,87.409508,1
7.633327,0.108849,-0.644274,-0.38017,-2.190644,-21.366116,87.55159,1
7.666661,0.112867,-0.639815,-0.379099,-2.313383,-21.422335,87.600746,1
7.699994,0.116668,-0.63585,-0.377987,-2.445313,-21.528713,87.548004,1
7.733327,0.121031,-0.631779,-0.376985,-2.493989,-21.717924,87.567406,1
7.766661,0.124967,-0.627777,-0.375962,-2.622894,-22.155056,87.740166,1
7.799994,0.12918,-0.62379,-0.374716,-2.921142,-22.621885,88.199928,1
7.833327,0.133515,-0.619585,-0.373503,-3.411804,-22.945124,88.900894,1
7.866661,0.138191,-0.615864,-0.372521,-3.818361,-23.097076,89.516235,1
7.899994,0.143066,-0.612366,-0.371837,-4.087251,-23.17981,90.173553,1
7.933327,0.148367,-0.609193,-0.371253,-4.324921,-23.24514,90.882698,1
7.96666,0.154396,-0.606412,-0.370739,-4.51935,-23.269217,91.589317,1
7.999994,0.161478,-0.603725,-0.370519,-4.682041,-23.201817,92.278694,1
8.033327,0.16944,-0.601291,-0.370124,-4.945255,-23.123535,92.976784,1
8.066661,0.178205,-0.599059,-0.369756,-5.281315,-23.049927,93.622894,1
8.099995,0.187447,-0.597558,-0.369604,-5.631871,-22.941771,94.318268,1
8.133328,0.197265,-0.596214,-0.369369,-5.958258,-22.824762,95.128639,1
8.166662,0.208122,-0.594965,-0.369314,-6.301215,-22.633572,96.095207,1
8.199996,0.219482,-0.594092,-0.369876,-6.645758,-22.450066,97.201668,1
8.23333,0.231893,-0.592987,-0.370145,-7.0185,-22.297848,98.396538,1
8.266664,0.244874,-0.592424,-0.370052,-7.467351,-22.202971,99.706322,1
8.299997,0.258449,-0.591911,-0.370102,-7.962378,-21.943819,101.068848,1
8.333331,0.272171,-0.591694,-0.370478,-8.40382,-21.515129,102.385704,1
8.366665,0.285702,-0.591454,-0.370342,-8.695536,-21.070217,103.763245,1
8.399999,0.299593,-0.591116,-0.369777,-8.880535,-20.537539,105.166374,1
8.433332,0.312864,-0.590913,-0.368789,-9.051249,-20.179623,106.633904,1
8.466666,0.325726,-0.590493,-0.367406,-9.310866,-19.921837,108.132874,1
8.5,0.338093,-0.589751,-0.366588,-9.650739,-19.77548,109.578484,1
8.533334,0.350149,-0.588454,-0.365958,-10.149948,-19.747374,110.920097,1
8.566668,0.361191,-0.587549,-0.365703,-10.571854,-19.772146,112.181923,1
8.600001,0.372209,-0.586108,-0.365463,-10.950763,-19.925531,113.222656,1
8.633335,0.382617,-0.584693,-0.365555,-11.175583,-20.431513,114.03138,1
8.666669,0.392768,-0.582508,-0.365998,-11.079604,-20.933313,114.866676,1
8.700003,0.401753,-0.580146,-0.368138,-10.876022,-20.822233,115.676872,1
8.733336,0.410279,-0.577389,-0.370832,-10.667251,-20.604918,116.480179,1
8.76667,0.418655,-0.574157,-0.373318,-10.502091,-20.357569,117.37204,1
8.800004,0.425931,-0.570821,-0.375498,-10.277726,-20.071255,118.195587,1
8.833338,0.432999,-0.566666,-0.377537,-9.94511,-19.699303,119.019417,1
8.866672,0.439084,-0.562523,-0.378906,-9.573711,-19.288208,119.898689,1
8.900005,0.445319,-0.558391,-0.37963,-9.356853,-18.967278,120.823051,1
8.933339,0.451408,-0.553843,-0.380328,-9.311872,-18.615051,121.957581,1
8.966673,0.456923,-0.550027,-0.381093,-9.525921,-18.50042,123.128632,1
9.000007,0.46274,-0.54515,-0.38353,-9.80107,-18.423088,124.416229,1
