t,x,y,z,roll,pitch,yaw,valid
5.199996,0.736811,-0.396386,-0.512997,-10.848833,-14.970798,140.715958,1
5.23333,0.742153,-0.393163,-0.512638,-10.897265,-14.947841,140.396164,1
5.266663,0.747478,-0.389892,-0.51261,-10.836074,-14.920411,140.172897,1
5.299996,0.752119,-0.387036,-0.512647,-10.794874,-14.841215,140.037277,1
5.33333,0.756645,-0.384214,-0.512655,-10.760117,-14.776205,140.0065,1
5.366663,0.761093,-0.381383,-0.512739,-10.814441,-14.695247,140.072052,1
5.399996,0.765378,-0.378312,-0.512762,-10.912494,-14.617915,140.16835,1
5.43333,0.769638,-0.375509,-0.512819,-11.021135,-14.55255,140.306259,1
5.466663,0.773788,-0.372388,-0.512796,-11.223926,-14.532409,140.443237,1
5.499996,0.777707,-0.369479,-0.512892,-11.428606,-14.52764,140.557968,1
5.533329,0.781847,-0.366321,-0.51308,-11.621572,-14.426998,140.628815,1
5.566663,0.785728,-0.363044,-0.513483,-11.842488,-14.290927,140.621658,1
5.599996,0.789374,-0.359811,-0.513788,-12.1039,-14.183918,140.602005,1
5.633329,0.79276,-0.356603,-0.514219,-12.341115,-14.082272,140.570541,1
5.666663,0.796112,-0.353236,-0.514673,-12.585895,-13.980133,140.483536,1
5.699996,0.799252,-0.350063,-0.514591,-12.712512,-14.002987,140.413544,1
5.733329,0.802532,-0.346979,-0.514917,-12.683094,-13.998322,140.40506,1
5.766663,0.805358,-0.343583,-0.515363,-12.709735,-13.968473,140.377243,1
5.799996,0.807788,-0.340632,-0.515577,-12.656481,-13.953447,140.397644,1
5.833329,0.80997,-0.337873,-0.51563,-12.484332,-13.979306,140.526443,1
5.866663,0.81186,-0.335526,-0.515407,-12.372089,-14.047963,140.736664,1
5.899996,0.813578,-0.333174,-0.515511,-12.328052,-14.012262,141.011047,1
5.933329,0.815043,-0.330756,-0.515848,-12.273395,-13.953611,141.367752,1
5.966662,0.815933,-0.328859,-0.516286,-12.051956,-13.947846,141.85173,1
5.999996,0.816264,-0.327041,-0.516624,-11.881243,-13.962921,142.511337,1
6.033329,0.81623,-0.325749,-0.517433,-11.745562,-13.9292,143.308548,1
6.066662,0.815629,-0.324898,-0.518393,-11.537036,-13.735804,144.274658,1
6.099996,0.814646,-0.324131,-0.519411,-11.357195,-13.537468,145.353363,1
6.133329,0.813615,-0.324206,-0.520063,-11.205798,-13.421656,146.511627,1
6.166662,0.812359,-0.324558,-0.521129,-10.931078,-13.152792,147.680573,1
6.199996,0.811016,-0.325233,-0.521999,-10.671677,-12.932006,148.762024,1
6.233329,0.809734,-0.326349,-0.52273,-10.369064,-12.778744,149.796509,1
6.266662,0.808573,-0.328086,-0.523517,-10.043259,-12.580286,150.726639,1
6.299995,0.807094,-0.330257,-0.52429,-9.697616,-12.324126,151.614151,1
6.333329,0.806137,-0.333005,-0.524489,-9.357678,-12.04193,152.393478,1
6.366662,0.805327,-0.336386,-0.524519,-9.028149,-11.840508,153.121246,1
6.399995,0.80463,-0.340942,-0.524623,-8.810037,-11.706875,153.78447,1
6.433329,0.804433,-0.345807,-0.524849,-8.599071,-11.583276,154.366974,1
6.466662,0.804041,-0.351324,-0.525651,-8.365122,-11.509456,154.908096,1
6.499995,0.80408,-0.357838,-0.526454,-8.171244,-11.529966,155.379486,1
6.533329,0.80421,-0.364793,-0.527626,-7.933998,-11.500371,155.782562,1
6.566662,0.804563,-0.372181,-0.528628,-7.744147,-11.288691,156.036499,1
6.599995,0.804784,-0.379955,-0.529558,-7.548163,-10.981318,156.135193,1
6.633328,0.804931,-0.388228,-0.530556,-7.290565,-10.600275,156.097153,1
6.666662,0.805013,-0.396208,-0.531403,-7.01676,-10.389647,155.781754,1
6.699995,0.805138,-0.404437,-0.53181,-6.82981,-10.380281,155.385986,1
6.733328,0.805344,-0.412766,-0.532248,-6.670628,-10.362455,154.849228,1
6.766662,0.805455,-0.421175,-0.532731,-6.550543,-10.470612,154.237686,1
6.799995,0.805199,-0.429885,-0.533096,-6.480077,-10.557157,153.62529,1
6.833328,0.804622,-0.438918,-0.533498,-6.352481,-10.540156,153.024963,1
6.866662,0.804031,-0.448583,-0.533501,-6.199223,-10.451234,152.565079,1
6.899995,0.803082,-0.458419,-0.533834,-6.149448,-10.279352,152.075226,1
6.933328,0.801998,-0.468652,-0.533836,-5.978458,-10.14645,151.716904,1
6.966661,0.800785,-0.478859,-0.533637,-5.664188,-10.256587,151.270462,1
6.999995,0.799436,-0.489243,-0.533261,-5.529269,-10.42504,150.642731,1
