id,x,y,z
324,375.0,-1499.9999,874.9999
325,562.5,-1499.9999,812.4999
326,0.0,-1499.9999,937.4999
327,-187.5,-1499.9999,999.9999
328,187.5,-1499.9999,874.9999
329,375.0,-1499.9999,812.4999
330,-187.5,-1499.9999,937.4999
331,-375.0,-1499.9999,999.9999
332,0.0,-1499.9999,874.9999
333,187.5,-1499.9999,812.4999
334,-375.0,-1499.9999,937.4999
335,-562.5,-1499.9999,999.9999
336,-187.5,-1499.9999,874.9999
337,0.0,-1499.9999,812.4999
338,-562.5,-1499.9999,937.4999
339,-750.0,-1499.9999,999.9999
340,-375.0,-1499.9999,874.9999
341,-187.5,-1499.9999,812.4999
342,-750.0,-1499.9999,937.4999
343,-937.5,-1499.9999,999.9999
344,-562.5,-1499.9999,874.9999
345,-375.0,-1499.9999,812.4999
346,-937.5,-1499.9999,937.4999
347,-1125.0,-1499.9999,999.9999
348,-750.0,-1499.9999,874.9999
349,-562.5,-1499.9999,812.4999
350,-1125.0,-1499.9999,937.4999
351,-1312.5,-1499.9999,999.9999
352,-937.5,-1499.9999,874.9999
353,-750.0,-1499.9999,812.4999
354,-1312.5,-1499.9999,937.4999
355,-1500.0,-1499.9999,999.9999
356,-1500.0,-1499.9999,937.4999
357,-1125.0,-1499.9999,874.9999
358,-1312.5,-1499.9999,874.9999
359,-1500.0,-1499.9999,874.9999
360,-937.5,-1499.9999,812.4999
361,-1125.0,-1499.9999,812.4999
362,-1312.5,-1499.9999,812.4999
363,-1500.0,-1499.9999,812.4999
364,-937.5,-1499.9999,749.9999
365,-1312.5,-1499.9999,749.9999
366,-1500.0,-1499.9999,749.9999
367,-1125.0,-1499.9999,749.9999
368,-1312.5,-1499.9999,687.4999
369,-1500.0,-1499.9999,687.4999
370,-1125.0,-1499.9999,687.4999
371,-1312.5,-1499.9999,624.9999
372,-1500.0,-1499.9999,624.9999
373,-1125.0,-1499.9999,624.9999
374,-937.5,-1499.9999,687.4999
375,-937.5,-1499.9999,624.9999
376,-1125.0,-1499.9999,562.4998
377,-1312.5,-1499.9999,562.4998
378,-1500.0,-1499.9999,562.4998
379,-937.5,-1499.9999,562.4998
380,-1312.5,-1499.9999,499.9998
381,-1500.0,-1499.9999,499.9998
382,-1125.0,-1499.9999,499.9998
383,-1312.5,-1499.9999,437.4998
384,-1500.0,-1499.9999,437.4998
385,-1125.0,-1499.9999,437.4999
386,-937.5,-1499.9999,499.9998
387,-937.5,-1499.9999,437.4999
388,-1125.0,-1499.9999,374.9999
389,-1312.5,-1499.9999,374.9999
390,-1500.0,-1499.9999,374.9999
391,-937.5,-1499.9999,374.9999
392,-1312.5,-1499.9999,312.4999
393,-1500.0,-1499.9999,312.4999
394,-1125.0,-1499.9999,312.4999
395,-1312.5,-1499.9999,249.9999
396,-1500.0,-1499.9999,249.9999
397,-1125.0,-1499.9999,249.9999
398,-937.5,-1499.9999,312.4999
399,-937.5,-1499.9999,249.9999
400,-1125.0,-1499.9999,187.4999
401,-1312.5,-1499.9999,187.4999
402,-1500.0,-1499.9999,187.4999
403,-937.5,-1499.9999,187.4999
404,-1312.5,-1499.9999,124.9999
405,-1500.0,-1499.9999,124.9999
406,-1125.0,-1499.9999,124.9999
407,-1312.5,-1499.9999,62.5
408,-1500.0,-1499.9999,62.5
409,-1500.0,-1499.9999,-0.0
410,-1312.5,-1499.9999,-0.0
411,-1125.0,-1499.9999,-0.0
412,-1125.0,-1499.9999,62.5
413,-937.5,-1499.9999,-0.0
414,-937.5,-1499.9999,62.5
415,-750.0,-1499.9999,-0.0
416,-937.5,-1499.9999,124.9999
417,-750.0,-1499.9999,62.5
418,-562.5,-1499.9999,-0.0
419,-750.0,-1499.9999,124.9999
420,-562.5,-1499.9999,62.5
421,-375.0,-1499.9999,-0.0
422,-750.0,-1499.9999,187.4999
423,-562.5,-1499.9999,124.9999
424,-375.0,-1499.9999,62.5
425,-187.5,-1499.9999,-0.0
426,-750.0,-1499.9999,249.9999
427,-562.5,-1499.9999,187.4999
428,-375.0,-1499.9999,124.9999
429,-187.5,-1499.9999,62.5
430,0.0,-1499.9999,-0.0
431,-375.0,-1499.9999,187.4999
432,0.0,-1499.9999,62.5
433,187.5,-1499.9999,-0.0
434,-187.5,-1499.9999,124.9999
435,187.5,-1499.9999,62.5
436,375.0,-1499.9999,-0.0
437,0.0,-1499.9999,124.9999
438,375.0,-1499.9999,62.5
439,562.5,-1499.9999,-0.0
440,187.5,-1499.9999,124.9999
441,-187.5,-1499.9999,187.4999
442,0.0,-1499.9999,187.4999
443,375.0,-1499.9999,124.9999
444,562.5,-1499.9999,62.5
445,750.0,-1499.9999,-0.0
446,187.5,-1499.9999,187.4999
447,750.0,-1499.9999,62.5
448,937.5,-1499.9999,-0.0
449,562.5,-1499.9999,124.9999
450,937.5,-1499.9999,62.5
451,1125.0,-1499.9999,-0.0
452,750.0,-1499.9999,124.9999
453,375.0,-1499.9999,187.4999
454,562.5,-1499.9999,187.4999
455,937.5,-1499.9999,124.9999
456,1125.0,-1499.9999,62.5
457,1312.5,-1499.9999,-0.0
458,750.0,-1499.9999,187.4999
459,1312.5,-1499.9999,62.5
460,1499.9995,-1499.9999,-0.0
461,1499.9995,-1499.9999,62.5
462,1125.0,-1499.9999,124.9999
463,1312.5,-1499.9999,124.9999
464,1499.9995,-1499.9999,124.9999
465,937.5,-1499.9999,187.4999
466,1125.0,-1499.9999,187.4999
467,1312.5,-1499.9999,187.4999
468,1499.9995,-1499.9999,187.4999
469,937.5,-1499.9999,249.9999
470,1312.5,-1499.9999,249.9999
471,1499.9996,-1499.9999,249.9999
472,1125.0,-1499.9999,249.9999
473,1312.5,-1499.9999,312.4999
474,1499.9996,-1499.9999,312.4999
475,1125.0,-1499.9999,312.4999
476,1312.5,-1499.9999,374.9999
477,1499.9996,-1499.9999,374.9999
478,1125.0,-1499.9999,374.9999
479,937.5,-1499.9999,312.4999
480,937.5,-1499.9999,374.9999
481,1125.0,-1499.9999,437.5
482,1312.5,-1499.9999,437.5
483,1499.9996,-1499.9999,437.5
484,937.5,-1499.9999,437.5
485,1312.5,-1499.9999,500.0
486,1499.9996,-1499.9999,500.0
487,1125.0,-1499.9999,500.0
488,1312.5,-1499.9999,562.5
489,1499.9996,-1499.9999,562.5
490,1125.0,-1499.9999,562.4999
491,937.5,-1499.9999,500.0
492,937.5,-1499.9999,562.4999
493,1125.0,-1499.9999,624.9999
494,1312.5,-1499.9999,624.9999
495,1125.0,-1499.9999,687.4999
496,937.5,-1499.9999,624.9999
497,937.5,-1499.9999,687.4999
498,937.5,-1499.9999,749.9999
499,750.0,-1499.9999,749.9999
500,750.0,-1499.9999,687.4999
501,562.5,-1499.9999,749.9999
502,750.0,-1499.9999,624.9999
503,562.5,-1499.9999,687.4999
504,375.0,-1499.9999,749.9999
505,750.0,-1499.9999,562.4999
506,187.5,-1499.9999,749.9999
507,375.0,-1499.9999,687.4999
508,562.5,-1499.9999,624.9999
509,0.0,-1499.9999,749.9999
510,187.5,-1499.9999,687.4999
511,375.0,-1499.9999,624.9999
512,-187.5,-1499.9999,749.9999
513,0.0,-1499.9999,687.4999
514,187.5,-1499.9999,624.9999
515,562.5,-1499.9999,562.4999
516,375.0,-1499.9999,562.4999
517,750.0,-1499.9999,500.0
518,562.5,-1499.9999,499.9999
519,750.0,-1499.9999,437.5
520,375.0,-1499.9999,499.9999
521,750.0,-1499.9999,374.9999
522,562.5,-1499.9999,437.5
523,750.0,-1499.9999,312.4999
524,562.5,-1499.9999,374.9999
525,750.0,-1499.9999,249.9999
526,562.5,-1499.9999,312.4999
527,562.5,-1499.9999,249.9999
528,375.0,-1499.9999,374.9999
529,375.0,-1499.9999,249.9999
530,375.0,-1499.9999,312.4999
531,187.5,-1499.9999,249.9999
532,187.5,-1499.9999,312.4999
533,0.0,-1499.9999,249.9999
534,0.0,-1499.9999,312.4999
535,187.5,-1499.9999,374.9999
536,0.0,-1499.9999,374.9999
537,-187.5,-1499.9999,249.9999
538,-187.5,-1499.9999,312.4999
539,-375.0,-1499.9999,249.9999
540,-375.0,-1499.9999,312.4999
541,-187.5,-1499.9999,374.9999
542,-562.5,-1499.9999,249.9999
543,-562.5,-1499.9999,312.4999
544,-750.0,-1499.9999,312.4999
545,-750.0,-1499.9999,374.9999
546,-562.5,-1499.9999,374.9999
547,-750.0,-1499.9999,437.4999
548,-375.0,-1499.9999,374.9999
549,-562.5,-1499.9999,437.4999
550,-750.0,-1499.9999,499.9999
551,-375.0,-1499.9999,437.4999
552,-562.5,-1499.9999,499.9999
553,-750.0,-1499.9999,562.4998
554,-187.5,-1499.9999,437.4999
555,-375.0,-1499.9999,499.9999
556,-562.5,-1499.9999,562.4998
557,-750.0,-1499.9999,624.9999
558,-375.0,-1499.9999,562.4999
559,-750.0,-1499.9999,687.4999
560,-562.5,-1499.9999,624.9999
561,-750.0,-1499.9999,749.9999
562,-562.5,-1499.9999,687.4999
563,-562.5,-1499.9999,749.9999
564,-375.0,-1499.9999,624.9999
565,-375.0,-1499.9999,687.4999
566,-375.0,-1499.9999,749.9999
567,-187.5,-1499.9999,687.4999
568,-187.5,-1499.9999,624.9999
569,0.0,-1499.9999,624.9999
570,-187.5,-1499.9999,562.4999
571,0.0,-1499.9999,562.4999
572,187.5,-1499.9999,562.4999
573,187.5,-1499.9999,499.9999
574,0.0,-1499.9999,499.9999
575,-187.5,-1499.9999,499.9999
576,0.0,-1499.9999,437.4999
577,187.5,-1499.9999,437.4999
578,375.0,-1499.9999,437.4999
579,-1500.0,-1499.9999,999.9999
580,-1500.0,-1312.4999,999.9999
581,-1500.0,-1499.9999,937.4999
582,-1500.0,-1312.4999,937.4999
583,-1500.0,-1124.9999,999.9999
584,-1500.0,-1499.9999,874.9999
585,-1500.0,-1124.9999,937.4999
586,-1500.0,-937.4989,999.9999
587,-1500.0,-1312.4999,874.9999
588,-1500.0,-1499.9999,812.4999
589,-1500.0,-937.4989,937.4999
590,-1500.0,-749.9999,999.9999
591,-1500.0,-1124.9999,874.9999
592,-1500.0,-1312.4999,812.4999
593,-1500.0,-1499.9999,749.9999
594,-1500.0,-749.9999,937.4999
595,-1500.0,-562.4999,999.9999
596,-1500.0,-1312.4999,749.9999
597,-1500.0,-1499.9999,687.4999
598,-1500.0,-1124.9999,812.4999
599,-1500.0,-937.4989,874.9999
600,-1500.0,-1312.4999,687.4999
601,-1500.0,-1499.9999,624.9999
602,-1500.0,-1124.9999,749.9999
603,-1500.0,-937.4989,812.4999
604,-1500.0,-749.9999,874.9999
605,-1500.0,-562.4999,937.4999
606,-1500.0,-375.0,999.9999
607,-1500.0,-749.9999,812.4999
608,-1500.0,-375.0,937.4999
609,-1500.0,-187.5,999.9999
610,-1500.0,-562.4999,874.9999
611,-1500.0,-187.5,937.4999
612,-1500.0,-0.0,999.9999
613,-1500.0,-375.0,874.9999
614,-1500.0,-562.4999,812.4999
615,-1500.0,-0.0,937.4999
616,-1500.0,187.5,999.9999
617,-1500.0,-187.5,875.0
618,-1500.0,-375.0,812.4999
619,-1500.0,187.5,937.4999
620,-1500.0,374.9999,1000.0
621,-1500.0,-0.0,875.0
622,-1500.0,-187.5,812.5
623,-1500.0,374.9999,937.5
