targetView,camSet,coverage
1,"(3, 11)",0.00837890625
1,"(4, 5)",0.5645421006944444
1,"(4, 6)",0.5644748263888889
1,"(4, 7)",0.56447265625
1,"(4, 8)",0.56583984375
1,"(4, 9)",0.5645421006944444
1,"(4, 10)",0.5656043836805555
1,"(4, 11)",0.56447265625
1,"(5, 6)",0.04279839409722222
1,"(5, 7)",0.055743272569444446
1,"(5, 8)",0.06979166666666667
1,"(5, 9)",0.03982313368055555
1,"(5, 10)",0.06667317708333333
1,"(5, 11)",0.03981987847222222
1,"(6, 7)",0.024300130208333333
1,"(6, 8)",0.04845269097222222
1,"(6, 9)",0.037919921875
1,"(6, 10)",0.04242078993055556
1,"(6, 11)",0.00837673611111111
1,"(7, 8)",0.061815321180555556
1,"(7, 9)",0.050866970486111114
1,"(7, 10)",0.052501085069444446
1,"(7, 11)",0.015923394097222224
1,"(8, 9)",0.06491536458333333
1,"(8, 10)",0.08214952256944444
1,"(8, 11)",0.04589192708333333
1,"(9, 10)",0.06179904513888889
1,"(9, 11)",0.03494357638888889
1,"(10, 11)",0.03657769097222222
1,"(0, 1, 2)",1.0
1,"(0, 1, 3)",1.0
1,"(0, 1, 4)",1.0
1,"(0, 1, 5)",1.0
1,"(0, 1, 6)",1.0
1,"(0, 1, 7)",1.0
1,"(0, 1, 8)",1.0
1,"(0, 1, 9)",1.0
1,"(0, 1, 10)",1.0
1,"(0, 1, 11)",1.0
1,"(0, 2, 3)",0.34707573784722223
1,"(0, 2, 4)",0.8300770399305556
1,"(0, 2, 5)",0.3615646701388889
1,"(0, 2, 6)",0.3470779079861111
1,"(0, 2, 7)",0.36296875
1,"(0, 2, 8)",0.34774305555555557
1,"(0, 2, 9)",0.35669053819444446
1,"(0, 2, 10)",0.3470453559027778
1,"(0, 2, 11)",0.3470453559027778
1,"(0, 3, 4)",0.6977484809027777
1,"(0, 3, 5)",0.20430881076388888
1,"(0, 3, 6)",0.18101453993055555
1,"(0, 3, 7)",0.1969357638888889
1,"(0, 3, 8)",0.18171006944444446
1,"(0, 3, 9)",0.19943033854166667
1,"(0, 3, 10)",0.2147417534722222
1,"(0, 3, 11)",0.18101236979166666
1,"(0, 4, 5)",0.6978081597222222
1,"(0, 4, 6)",0.6977484809027777
1,"(0, 4, 7)",0.6977463107638889
1,"(0, 4, 8)",0.6979698350694444
1,"(0, 4, 9)",0.6978081597222222
1,"(0, 4, 10)",0.6988780381944445
1,"(0, 4, 11)",0.6977463107638889
1,"(0, 5, 6)",0.20431098090277777
1,"(0, 5, 7)",0.218544921875
1,"(0, 5, 8)",0.20305013020833335
1,"(0, 5, 9)",0.2026247829861111
1,"(0, 5, 10)",0.2292306857638889
1,"(0, 5, 11)",0.20262152777777778
1,"(0, 6, 7)",0.1969379340277778
